CODE_UIC;LIBELLE;long;lat
0087988709;Remise à Jorelle;2.487751;48.893170
0087785006;Cerbère;3.1634033;42.4417732
0087784884;Ur - Les Escaldes;1.9404821;42.457481
0087784728;Olette - Canaveilles;2.2719309;42.55472
0087784637;Prades - Molitg-les-Bains;2.4294184;42.6170988
0087783563;Barjac;3.4109786;44.4992638
0087783514;Les Salelles;3.2804008;44.4832687
0087783324;Banassac - La Canourgue;3.1958518;44.4477632
0087783308;Le Monastier-Pin-Moriès;3.252057;44.5089682
0087783290;Chirac;3.2638181;44.5246607
0087783241;Saint-Chély-d'Apcher;3.2706895;44.8017375
0087783175;Saint-Flour - Chaudes-Aigues;3.1062862;45.0350122
0087781666;Magalas;3.2295415;43.4675998
0087781609;Bédarieux;3.1495688;43.6086972
0087781559;Les Cabrils;3.1860831;43.779707
0087781294;Marseillan Plage;3.5355281;43.3181964
0087781088;Leucate La Franqui;3.0128555;42.9327725
0087775858;Aigues-Mortes;4.1912102;43.5709008
0087775791;Générac;4.3434742;43.7324379
0087775494;Bessèges;4.1005901;44.2884691
0087775379;Fons - Saint-Mamert;4.2066687;43.9073195
0087775353;Nozières - Brignon;4.2072916;43.9760134
0087775254;La Grand-Combe;4.0329591;44.2098159
0087775239;Sainte-Cécile-d'Andorge;3.9758497;44.2554362
0087775148;Chasseradès;3.8399319;44.5539847
0087775130;Gallargues-le-Montueux;4.1715027;43.716229
0087775114;Vergèze - Codognan;4.218842;43.739877
0087775064;Manduel - Redessan;4.4793827;43.8264863
0087775007;Nîmes;4.365845;43.832291
0087773556;Frontignan;3.758689;43.444934
0087773432;Valergues - Lansargues;4.0601085;43.672678
0087765818;Monteux;4.9947813;44.0374619
0087765735;Carpentras;5.044141;44.0499488
0087765479;L'Isle-sur-la-Sorgue - Fontaine-de-Vaucluse;5.047615;43.917393
0087765446;Gadagne;4.9568087;43.9296817
0087765180;Courthézon;4.8881802;44.0899478
0087765008;Avignon Centre;4.805281;43.941900
0087764001;Montélimar;4.744792;44.559079
0087763300;Veynes Dévoluy;5.815764;44.5320046
0087761718;Saint-Marcellin;5.323649;45.150898
0087761684;Saint-Hilaire - Saint-Nazaire;5.243851;45.0713405
0087757575;Le Trayas;6.9243444;43.4746639
0087757567;Anthéor Cap Roux;6.8921036;43.4349641
0087757518;Fréjus - Saint-Raphael Autotrain;6.7551022;43.4288632
0087756858;Fontan - Saorge;7.5516262;43.9966378
0087756379;Beaulieu-sur-Mer;7.331545;43.706651
0087756346;Saint-Laurent-du-Var;7.194413;43.662451
0087756320;Cagnes-sur-Mer;7.14864;43.65813
0087756254;Nice Saint-Augustin;7.216199;43.670728
0087755629;Hyères;6.124223;43.108867
0087755611;La Crau;6.0687663;43.1449352
0087755405;Le Luc - Le Cannet;6.3430972;43.3902379
0087755389;Pignans;6.2248459;43.298475
0087755231;Ollioules - Sanary-sur-Mer;5.824979;43.122586
0087755009;Toulon;5.929293;43.128370
0087753731;Lamanon;5.0913333;43.6999662
0087753681;Saint-Martin-de-Crau;4.8003403;43.6223344
0087753442;Fos-sur-Mer;4.974579;43.428029
0087751784;La Ciotat - Ceyreste;5.632647;43.199593
0087751719;La Pomme;5.4413152;43.2905165
0087751404;Aix-en-Provence;5.445345;43.522912
0087747691;Moirans La Galifette;5.565170;45.324154
0087747535;Jarrie - Vizille;5.7424487;45.0854543
0087747493;Pontcharra sur Bréda;6.007917;45.434151
0087747451;Brignoud;5.901472;45.262450
0087747279;Réaumont - Saint-Cassien;5.5346895;45.3688217
0087747212;Châbons;5.4281009;45.4383566
